score,number,rank
693,10,10
692,1,11
691,6,17
690,5,22
689,3,25
688,5,30
687,4,34
686,6,40
685,6,46
684,4,50
683,6,56
682,16,72
681,11,83
680,12,95
679,8,103
678,16,119
677,22,141
676,12,153
675,20,173
674,18,191
673,25,216
672,15,231
671,17,248
670,20,268
669,34,302
668,25,327
667,31,358
666,50,408
665,37,445
664,49,494
663,32,526
662,43,569
661,43,612
660,43,655
659,34,689
658,37,726
657,51,777
656,56,833
655,56,889
654,62,951
653,61,1012
652,67,1079
651,74,1153
650,89,1242
649,69,1311
648,81,1392
647,93,1485
646,93,1578
645,107,1685
644,108,1793
643,104,1897
642,89,1986
641,124,2110
640,107,2217
639,101,2318
638,111,2429
637,133,2562
636,115,2677
635,114,2791
634,127,2918
633,129,3047
632,124,3171
631,135,3306
630,146,3452
629,151,3603
628,151,3754
627,172,3926
626,144,4070
625,166,4236
624,143,4379
623,171,4550
622,171,4721
621,182,4903
620,171,5074
619,205,5279
618,208,5487
617,176,5663
616,196,5859
615,173,6032
614,191,6223
613,213,6436
612,216,6652
611,203,6855
610,229,7084
609,220,7304
608,247,7551
607,233,7784
606,237,8021
605,236,8257
604,246,8503
603,234,8737
602,232,8969
601,205,9174
600,238,9412
599,259,9671
598,263,9934
597,256,10190
596,275,10465
595,275,10740
594,268,11008
593,264,11272
592,270,11542
591,274,11816
590,283,12099
589,268,12367
588,284,12651
587,262,12913
586,298,13211
585,323,13534
584,284,13818
583,285,14103
582,268,14371
581,323,14694
580,303,14997
579,287,15284
578,331,15615
577,297,15912
576,299,16211
575,328,16539
574,297,16836
573,333,17169
572,344,17513
571,332,17845
570,346,18191
569,348,18539
568,323,18862
567,303,19165
566,307,19472
565,345,19817
564,350,20167
563,386,20553
562,346,20899
561,341,21240
560,349,21589
559,360,21949
558,347,22296
557,366,22662
556,355,23017
555,351,23368
554,360,23728
553,346,24074
552,350,24424
551,383,24807
550,352,25159
549,367,25526
548,352,25878
547,351,26229
546,381,26610
545,370,26980
544,381,27361
543,411,27772
542,382,28154
541,359,28513
540,395,28908
539,368,29276
538,388,29664
537,369,30033
536,393,30426
535,377,30803
534,406,31209
533,418,31627
532,391,32018
531,406,32424
530,410,32834
529,390,33224
528,385,33609
527,421,34030
526,408,34438
525,407,34845
524,404,35249
523,401,35650
522,411,36061
521,425,36486
520,432,36918
519,398,37316
518,371,37687
517,386,38073
516,409,38482
515,437,38919
514,412,39331
513,427,39758
512,441,40199
511,410,40609
510,409,41018
509,443,41461
508,399,41860
507,405,42265
506,432,42697
505,427,43124
504,452,43576
503,440,44016
502,430,44446
501,469,44915
500,419,45334
499,421,45755
498,460,46215
497,427,46642
496,423,47065
495,438,47503
494,423,47926
493,468,48394
492,471,48865
491,424,49289
490,467,49756
489,428,50184
488,438,50622
487,479,51101
486,461,51562
485,449,52011
484,452,52463
483,435,52898
482,446,53344
481,481,53825
480,462,54287
479,434,54721
478,433,55154
477,462,55616
476,472,56088
475,470,56558
474,448,57006
473,470,57476
472,429,57905
471,476,58381
470,475,58856
469,469,59325
468,465,59790
467,420,60210
466,451,60661
465,455,61116
464,443,61559
463,427,61986
462,481,62467
461,497,62964
460,425,63389
459,493,63882
458,486,64368
457,449,64817
456,421,65238
455,440,65678
454,463,66141
453,486,66627
452,478,67105
451,470,67575
450,495,68070
449,446,68516
448,457,68973
447,467,69440
446,494,69934
445,459,70393
444,478,70871
443,486,71357
442,483,71840
441,423,72263
440,480,72743
439,467,73210
438,485,73695
437,484,74179
436,506,74685
435,529,75214
434,495,75709
433,465,76174
432,467,76641
431,468,77109
430,446,77555
429,509,78064
428,416,78480
427,486,78966
426,465,79431
425,461,79892
424,458,80350
423,482,80832
422,508,81340
421,472,81812
420,467,82279
419,460,82739
418,446,83185
417,483,83668
416,454,84122
415,451,84573
414,457,85030
413,446,85476
412,451,85927
411,475,86402
410,464,86866
409,480,87346
408,447,87793
407,448,88241
406,495,88736
405,446,89182
404,446,89628
403,448,90076
402,425,90501
401,424,90925
400,450,91375
399,478,91853
398,422,92275
397,458,92733
396,419,93152
395,413,93565
394,475,94040
393,456,94496
392,430,94926
391,451,95377
390,450,95827
389,440,96267
388,489,96756
387,468,97224
386,406,97630
385,450,98080
384,424,98504
383,435,98939
382,425,99364
381,403,99767
380,399,100166
379,392,100558
378,412,100970
377,417,101387
376,403,101790
375,374,102164
374,432,102596
373,369,102965
372,397,103362
371,375,103737
370,392,104129
369,382,104511
368,396,104907
367,384,105291
366,338,105629
365,378,106007
364,395,106402
363,363,106765
362,369,107134
361,369,107503
360,389,107892
359,347,108239
358,332,108571
357,340,108911
356,389,109300
355,361,109661
354,333,109994
353,373,110367
352,337,110704
351,358,111062
350,338,111400
349,326,111726
348,399,112125
347,332,112457
346,367,112824
345,333,113157
344,334,113491
343,322,113813
342,337,114150
341,325,114475
340,285,114760
339,313,115073
338,324,115397
337,282,115679
336,296,115975
335,322,116297
334,311,116608
333,290,116898
332,309,117207
331,292,117499
330,290,117789
329,282,118071
328,307,118378
327,291,118669
326,261,118930
325,282,119212
324,282,119494
323,301,119795
322,289,120084
321,277,120361
320,248,120609
319,257,120866
318,274,121140
317,269,121409
316,259,121668
315,250,121918
314,218,122136
313,246,122382
312,259,122641
311,245,122886
310,250,123136
309,250,123386
308,233,123619
307,224,123843
306,226,124069
305,241,124310
304,199,124509
303,252,124761
302,220,124981
301,229,125210
300,199,125409
299,210,125619
298,212,125831
297,186,126017
296,208,126225
295,199,126424
294,188,126612
293,170,126782
292,178,126960
291,192,127152
290,193,127345
289,181,127526
288,170,127696
287,179,127875
286,190,128065
285,170,128235
284,181,128416
283,167,128583
282,167,128750
281,190,128940
280,165,129105
279,143,129248
278,169,129417
277,136,129553
276,144,129697
275,160,129857
274,147,130004
273,133,130137
272,150,130287
271,122,130409
270,137,130546
269,130,130676
268,129,130805
267,121,130926
266,120,131046
265,131,131177
264,116,131293
263,117,131410
262,119,131529
261,133,131662
260,103,131765
259,115,131880
258,109,131989
257,116,132105
256,92,132197
255,83,132280
254,108,132388
253,97,132485
252,94,132579
251,101,132680
250,95,132775
249,78,132853
248,90,132943
247,89,133032
246,89,133121
245,78,133199
244,90,133289
243,85,133374
242,70,133444
241,72,133516
240,65,133581
239,73,133654
238,63,133717
237,55,133772
236,54,133826
235,64,133890
234,63,133953
233,69,134022
232,62,134084
231,45,134129
230,49,134178
229,44,134222
228,38,134260
227,44,134304
226,38,134342
225,48,134390
224,43,134433
223,41,134474
222,43,134517
221,38,134555
220,46,134601
219,37,134638
218,27,134665
217,41,134706
216,23,134729
215,32,134761
214,27,134788
213,29,134817
212,29,134846
211,25,134871
210,20,134891
209,19,134910
208,17,134927
207,14,134941
206,23,134964
205,8,134972
204,17,134989
203,14,135003
202,26,135029
201,18,135047
200,17,135064
199,11,135075
198,9,135084
197,15,135099
196,13,135112
195,14,135126
194,16,135142
193,8,135150
192,9,135159
191,12,135171
190,8,135179
189,10,135189
188,10,135199
187,7,135206
186,7,135213
185,4,135217
184,5,135222
183,4,135226
182,7,135233
181,6,135239
180,5,135244
179,6,135250
178,5,135255
177,7,135262
176,4,135266
175,5,135271
174,4,135275
173,6,135281
172,4,135285
171,4,135289
170,2,135291
169,5,135296
168,2,135298
167,2,135300
166,4,135304
165,4,135308
164,4,135312
163,4,135316
162,6,135322
161,2,135324
160,3,135327
159,2,135329
158,1,135330
157,2,135332
156,2,135334
155,5,135339
154,1,135340
153,2,135342
152,5,135347
151,3,135350
150,2,135352
0-149,0,135352